,Code,FIPS,StateFIPS,CountyFIPS,County,State,Country,Latitude,Longitude,Generation(MWh),Emissions(tons)
8252,56889,34039,34,039,Union,New Jersey,USA,40.727386,-74.3783,691.0,0.0
8253,57204,34041,34,041,Warren,New Jersey,USA,40.860629,-74.822935,2285.0,0.0
8254,6118,34033,34,033,Salem,New Jersey,USA,39.4666,-75.5377,9938423.0,0.0
8255,58569,34015,34,015,Gloucester,New Jersey,USA,39.835833,-75.2225,7715.0,0.0
8256,59001,34005,34,005,Burlington,New Jersey,USA,40.1275,-74.710833,12314.0,0.0
8257,59544,34023,34,023,Middlesex,New Jersey,USA,40.456667,-74.328889,487.0,0.0
8258,50311,34031,34,031,Passaic,New Jersey,USA,40.883345,-74.22999,0.0,0.0
8259,58896,34035,34,035,Somerset,New Jersey,USA,40.560556,-74.551389,1161.0,0.0
8260,50628,34015,34,015,Gloucester,New Jersey,USA,39.84,-75.2583,336201.91,109800.83
8261,61073,34005,34,005,Burlington,New Jersey,USA,39.981764,-74.697369,13073.0,0.0
8262,61074,34005,34,005,Burlington,New Jersey,USA,39.979936,-74.701917,13031.0,0.0
